,windBearing
1969-12-31 16:03:07,291.0
1969-12-31 16:03:08,285.0
1969-12-31 16:03:09,281.0
1969-12-31 16:03:10,287.0
1969-12-31 16:03:11,281.0
1969-12-31 16:03:12,289.0
1969-12-31 16:03:13,292.0
1969-12-31 16:03:14,296.0
1969-12-31 16:03:15,295.0
1969-12-31 16:03:16,286.0
1969-12-31 16:03:17,302.0
1969-12-31 16:03:18,296.0
1969-12-31 16:03:19,295.0
1969-12-31 16:03:20,321.0
1969-12-31 16:03:21,330.0
1969-12-31 16:03:22,347.0
1969-12-31 16:03:23,11.0
1969-12-31 16:03:24,19.0
1969-12-31 16:03:25,17.0
1969-12-31 16:03:26,5.0
1969-12-31 16:03:27,22.0
1969-12-31 16:03:28,346.0
1969-12-31 16:03:29,350.0
1969-12-31 16:03:30,338.0
1969-12-31 16:03:31,322.0
1969-12-31 16:03:32,300.0
1969-12-31 16:03:33,293.0
1969-12-31 16:03:34,273.0
1969-12-31 16:03:35,317.0
1969-12-31 16:03:36,259.0
1969-12-31 16:03:37,295.0
1969-12-31 16:03:38,244.0
1969-12-31 16:03:39,143.0
1969-12-31 16:03:40,246.0
1969-12-31 16:03:41,163.0
1969-12-31 16:03:42,228.0
1969-12-31 16:03:43,163.0
1969-12-31 16:03:44,166.0
1969-12-31 16:03:45,112.0
1969-12-31 16:03:46,118.0
1969-12-31 16:03:47,115.0
1969-12-31 16:03:48,191.0
1969-12-31 16:03:49,193.0
1969-12-31 16:03:50,214.0
1969-12-31 16:03:51,214.0
1969-12-31 16:03:52,236.0
1969-12-31 16:03:53,233.0
1969-12-31 16:03:54,233.0
1969-12-31 16:03:55,249.0
1969-12-31 16:03:56,256.0
1969-12-31 16:03:57,245.0
1969-12-31 16:03:58,237.0
1969-12-31 16:03:59,246.0
1969-12-31 16:04:00,276.0
1969-12-31 16:04:01,283.0
1969-12-31 16:04:02,272.0
1969-12-31 16:04:03,270.0
1969-12-31 16:04:04,272.0
1969-12-31 16:04:05,269.0
1969-12-31 16:04:06,281.0
1969-12-31 16:04:07,297.0
1969-12-31 16:04:08,282.0
1969-12-31 16:04:09,300.0
1969-12-31 16:04:10,291.0
1969-12-31 16:04:11,293.0
1969-12-31 16:04:12,293.0
1969-12-31 16:04:13,283.0
1969-12-31 16:04:14,300.0
1969-12-31 16:04:15,293.0
1969-12-31 16:04:16,289.0
1969-12-31 16:04:17,295.0
1969-12-31 16:04:18,305.0
1969-12-31 16:04:19,292.0
1969-12-31 16:04:20,294.0
1969-12-31 16:04:21,296.0
1969-12-31 16:04:22,296.0
1969-12-31 16:04:23,296.0
1969-12-31 16:04:24,303.0
1969-12-31 16:04:25,291.0
1969-12-31 16:04:26,296.0
1969-12-31 16:04:27,295.0
1969-12-31 16:04:28,294.0
1969-12-31 16:04:29,299.0
1969-12-31 16:04:30,303.0
1969-12-31 16:04:31,309.0
1969-12-31 16:04:32,322.0
1969-12-31 16:04:33,321.0
1969-12-31 16:04:34,321.0
1969-12-31 16:04:35,317.0
1969-12-31 16:04:36,291.0
1969-12-31 16:04:37,299.0
1969-12-31 16:04:38,300.0
1969-12-31 16:04:39,304.0
1969-12-31 16:04:40,296.0
1969-12-31 16:04:41,298.0
1969-12-31 16:04:42,303.0
1969-12-31 16:04:43,295.0
1969-12-31 16:04:44,292.0
1969-12-31 16:04:45,293.0
1969-12-31 16:04:46,296.0
1969-12-31 16:04:47,299.0
1969-12-31 16:04:48,277.0
1969-12-31 16:04:49,267.0
1969-12-31 16:04:50,299.0
1969-12-31 16:04:51,291.0
1969-12-31 16:04:52,315.0
1969-12-31 16:04:53,261.0
1969-12-31 16:04:54,273.0
1969-12-31 16:04:55,323.0
1969-12-31 16:04:56,165.0
1969-12-31 16:04:57,118.0
1969-12-31 16:04:58,94.0
1969-12-31 16:04:59,108.0
1969-12-31 16:05:00,115.0
1969-12-31 16:05:01,109.0
1969-12-31 16:05:02,71.0
1969-12-31 16:05:03,324.0
1969-12-31 16:05:04,321.0
1969-12-31 16:05:05,316.0
1969-12-31 16:05:06,294.0
1969-12-31 16:05:07,293.0
1969-12-31 16:05:08,289.0
1969-12-31 16:05:09,274.0
1969-12-31 16:05:10,302.0
1969-12-31 16:05:11,287.0
1969-12-31 16:05:12,294.0
1969-12-31 16:05:13,306.0
1969-12-31 16:05:14,284.0
1969-12-31 16:05:15,288.0
1969-12-31 16:05:16,295.0
1969-12-31 16:05:17,270.0
1969-12-31 16:05:18,275.0
1969-12-31 16:05:19,279.0
1969-12-31 16:05:20,227.0
1969-12-31 16:05:21,307.0
1969-12-31 16:05:22,309.0
1969-12-31 16:05:23,306.0
1969-12-31 16:05:24,302.0
1969-12-31 16:05:25,294.0
1969-12-31 16:05:26,303.0
1969-12-31 16:05:27,273.0
1969-12-31 16:05:28,264.0
1969-12-31 16:05:29,264.0
1969-12-31 16:05:30,260.0
1969-12-31 16:05:31,265.0
1969-12-31 16:05:32,259.0
1969-12-31 16:05:33,266.0
1969-12-31 16:05:34,290.0
1969-12-31 16:05:35,285.0
1969-12-31 16:05:36,313.0
1969-12-31 16:05:37,289.0
1969-12-31 16:05:38,290.0
1969-12-31 16:05:39,283.0
1969-12-31 16:05:40,289.0
1969-12-31 16:05:41,285.0
1969-12-31 16:05:42,264.0
1969-12-31 16:05:43,254.0
1969-12-31 16:05:44,274.0
1969-12-31 16:05:45,275.0
1969-12-31 16:05:46,287.0
1969-12-31 16:05:47,266.0
1969-12-31 16:05:48,276.0
1969-12-31 16:05:49,287.0
1969-12-31 16:05:50,275.0
1969-12-31 16:05:51,272.0
1969-12-31 16:05:52,265.0
1969-12-31 16:05:53,262.0
1969-12-31 16:05:54,260.0
1969-12-31 16:05:55,261.0
1969-12-31 16:05:56,259.0
1969-12-31 16:05:57,273.0
1969-12-31 16:05:58,264.0
1969-12-31 16:05:59,278.0
1969-12-31 16:06:00,280.0
1969-12-31 16:06:01,273.0
1969-12-31 16:06:02,280.0
1969-12-31 16:06:03,278.0
1969-12-31 16:06:04,299.0
1969-12-31 16:06:05,260.0
1969-12-31 16:06:06,262.0
1969-12-31 16:06:07,246.0
1969-12-31 16:06:08,218.0
1969-12-31 16:06:09,208.0
1969-12-31 16:06:10,56.0
1969-12-31 16:06:11,95.0
1969-12-31 16:06:12,109.0
1969-12-31 16:06:13,89.0
1969-12-31 16:06:14,284.0
1969-12-31 16:06:15,256.0
1969-12-31 16:06:16,264.0
1969-12-31 16:06:17,248.0
1969-12-31 16:06:18,259.0
1969-12-31 16:06:19,247.0
1969-12-31 16:06:20,250.0
1969-12-31 16:06:21,250.0
1969-12-31 16:06:22,249.0
1969-12-31 16:06:23,266.0
1969-12-31 16:06:24,236.0
1969-12-31 16:06:25,241.0
1969-12-31 16:06:26,234.0
1969-12-31 16:06:27,232.0
1969-12-31 16:06:28,227.0
1969-12-31 16:06:29,229.0
1969-12-31 16:06:30,226.0
1969-12-31 16:06:31,235.0
1969-12-31 16:06:32,253.0
1969-12-31 16:06:33,209.0
1969-12-31 16:06:34,243.0
1969-12-31 16:06:35,247.0
1969-12-31 16:06:36,238.0
1969-12-31 16:06:37,261.0
1969-12-31 16:06:38,242.0
1969-12-31 16:06:39,230.0
1969-12-31 16:06:40,245.0
1969-12-31 16:06:41,243.0
1969-12-31 16:06:42,257.0
1969-12-31 16:06:43,254.0
1969-12-31 16:06:44,257.0
1969-12-31 16:06:45,252.0
1969-12-31 16:06:46,257.0
1969-12-31 16:06:47,250.0
1969-12-31 16:06:48,249.0
1969-12-31 16:06:49,242.0
1969-12-31 16:06:50,246.0
1969-12-31 16:06:51,242.0
1969-12-31 16:06:52,251.0
1969-12-31 16:06:53,251.0
1969-12-31 16:06:54,233.0
1969-12-31 16:06:55,230.0
1969-12-31 16:06:56,239.0
1969-12-31 16:06:57,240.0
1969-12-31 16:06:58,248.0
1969-12-31 16:06:59,242.0
1969-12-31 16:07:00,226.0
1969-12-31 16:07:01,255.0
1969-12-31 16:07:02,249.0
1969-12-31 16:07:03,232.0
1969-12-31 16:07:04,255.0
1969-12-31 16:07:05,247.0
1969-12-31 16:07:06,252.0
1969-12-31 16:07:07,268.0
1969-12-31 16:07:08,255.0
1969-12-31 16:07:09,254.0
1969-12-31 16:07:10,247.0
1969-12-31 16:07:11,250.0
1969-12-31 16:07:12,244.0
1969-12-31 16:07:13,243.0
1969-12-31 16:07:14,259.0
1969-12-31 16:07:15,256.0
1969-12-31 16:07:16,277.0
1969-12-31 16:07:17,299.0
1969-12-31 16:07:18,303.0
1969-12-31 16:07:19,293.0
1969-12-31 16:07:20,304.0
1969-12-31 16:07:21,296.0
1969-12-31 16:07:22,291.0
1969-12-31 16:07:23,294.0
1969-12-31 16:07:24,287.0
1969-12-31 16:07:25,287.0
1969-12-31 16:07:26,290.0
1969-12-31 16:07:27,299.0
1969-12-31 16:07:28,284.0
1969-12-31 16:07:29,296.0
1969-12-31 16:07:30,286.0
1969-12-31 16:07:31,285.0
1969-12-31 16:07:32,296.0
1969-12-31 16:07:33,306.0
1969-12-31 16:07:34,321.0
1969-12-31 16:07:35,308.0
1969-12-31 16:07:36,305.0
1969-12-31 16:07:37,319.0
1969-12-31 16:07:38,315.0
1969-12-31 16:07:39,302.0
1969-12-31 16:07:40,301.0
1969-12-31 16:07:41,316.0
1969-12-31 16:07:42,319.0
1969-12-31 16:07:43,305.0
1969-12-31 16:07:44,321.0
1969-12-31 16:07:45,301.0
1969-12-31 16:07:46,290.0
1969-12-31 16:07:47,290.0
1969-12-31 16:07:48,292.0
1969-12-31 16:07:49,291.0
1969-12-31 16:07:50,290.0
1969-12-31 16:07:51,302.0
1969-12-31 16:07:52,291.0
1969-12-31 16:07:53,289.0
1969-12-31 16:07:54,297.0
1969-12-31 16:07:55,298.0
1969-12-31 16:07:56,304.0
1969-12-31 16:07:57,296.0
