,windBearing
1969-12-31 16:00:00,237.0
1969-12-31 16:00:01,224.0
1969-12-31 16:00:02,223.0
1969-12-31 16:00:03,215.0
1969-12-31 16:00:04,217.0
1969-12-31 16:00:05,206.0
1969-12-31 16:00:06,237.0
1969-12-31 16:00:07,229.0
1969-12-31 16:00:08,229.0
1969-12-31 16:00:09,215.0
1969-12-31 16:00:10,83.0
1969-12-31 16:00:11,91.0
1969-12-31 16:00:12,81.0
1969-12-31 16:00:13,86.0
1969-12-31 16:00:14,76.0
1969-12-31 16:00:15,85.0
1969-12-31 16:00:16,95.0
1969-12-31 16:00:17,83.0
1969-12-31 16:00:18,80.0
1969-12-31 16:00:19,52.0
1969-12-31 16:00:20,241.0
1969-12-31 16:00:21,270.0
1969-12-31 16:00:22,269.0
1969-12-31 16:00:23,269.0
1969-12-31 16:00:24,267.0
1969-12-31 16:00:25,263.0
1969-12-31 16:00:26,272.0
1969-12-31 16:00:27,269.0
1969-12-31 16:00:28,258.0
1969-12-31 16:00:29,258.0
1969-12-31 16:00:30,248.0
1969-12-31 16:00:31,252.0
1969-12-31 16:00:32,246.0
1969-12-31 16:00:33,205.0
1969-12-31 16:00:34,89.0
1969-12-31 16:00:35,159.0
1969-12-31 16:00:36,247.0
1969-12-31 16:00:37,200.0
1969-12-31 16:00:38,220.0
1969-12-31 16:00:39,249.0
1969-12-31 16:00:40,221.0
1969-12-31 16:00:41,233.0
1969-12-31 16:00:42,237.0
1969-12-31 16:00:43,240.0
1969-12-31 16:00:44,257.0
1969-12-31 16:00:45,255.0
1969-12-31 16:00:46,250.0
1969-12-31 16:00:47,278.0
1969-12-31 16:00:48,277.0
1969-12-31 16:00:49,285.0
1969-12-31 16:00:50,247.0
1969-12-31 16:00:51,238.0
1969-12-31 16:00:52,244.0
1969-12-31 16:00:53,256.0
1969-12-31 16:00:54,258.0
1969-12-31 16:00:55,228.0
1969-12-31 16:00:56,240.0
1969-12-31 16:00:57,264.0
1969-12-31 16:00:58,257.0
1969-12-31 16:00:59,230.0
1969-12-31 16:01:00,260.0
1969-12-31 16:01:01,272.0
1969-12-31 16:01:02,279.0
1969-12-31 16:01:03,259.0
1969-12-31 16:01:04,259.0
1969-12-31 16:01:05,259.0
1969-12-31 16:01:06,257.0
1969-12-31 16:01:07,246.0
1969-12-31 16:01:08,255.0
1969-12-31 16:01:09,264.0
1969-12-31 16:01:10,279.0
1969-12-31 16:01:11,282.0
