Supply 08/16/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4446,4468,4453,4459,4468,4461,4451,4471,4459,4407,4347,4323,4351,4363,4337,4317,4321,4326,4331,4338,4337,4336,4342,4377,4382,4386,4367,4350,4343,4364,4377,4374,4382,4381,4358,4352,4330,4305,4249,4192,4145,4096,4066,4035,4020,4013,3987,3949,3906,3849,3801,3765,3735,3709,3671,3605,3525,3459,3395,3311,3284,3261,3232,3218,3177,3172,3170,3193,3211,3201,3184,3156,3138,3113,3072,3044,3018,3020,3050,3117,3224,3384,3473,3652,3891,4237,4520,4916,5263,5548,5998,6205,6641,6936,7264,7598,7822,8050,8294,8705,9064,9285,9542,9921,10220,10450,10584,10714,10869,11022,11064,11163,11217,11370,11487,11602,11637,11666,11687,11744,11741,11816,11875,12025,12065,12118,12141,12168,12240,12273,12379,12416,12392,12391,12432,12465,12458,12535,12526,12584,12513,12478,12485,12515,12333,11960,11688,11633,11548,11484,11467,11451,11422,11394,11349,11336,11313,11434,11448,11451,11333,11398,11459,11445,11417,11327,11275,11227,11311,11250,11304,11294,11292,11401,11496,11354,11239,11211,11153,10953,11019,11156,11078,11188,11183,11156,11006,10983,10837,10759,10810,10789,10903,10753,10627,10604,10716,10798,10734,10796,10829,10802,10741,10664,10551,10486,10392,10199,9996,9818,9747,9717,9480,9258,9062,8862,8631,8390,8049,7743,7492,7287,7068,6822,6509,6181,5894,5657,5415,5284,5112,4885,4625,4450,4424,4371,4332,4293,4256,4266,4213,4137,4075,4033,4015,4074,4116,4237,4334,4448,4441,4472,4505,4510,4530,4527,4569,4621,4658,4691,4754,4835,4910,4907,4922,4874,4877,4874,4897,4921,4891,4935,4968,4978,4929,4902,4841,4791,4737,4663,4661,4647,4642,4641,4605,4598,4570,4566,
Natural gas,11923,11838,11690,11469,11191,11219,11311,11171,11088,11075,11051,11032,11089,11120,11099,11141,11108,11075,11014,11117,11243,11237,11079,11033,11135,11335,11484,11453,11378,11206,11291,11053,10817,10704,10644,10556,10479,10507,10547,10569,10575,10546,10548,10541,10506,10482,10493,10477,10472,10516,10572,10537,10568,10648,10694,10733,10811,10929,11006,11033,11192,11207,10905,10876,10946,11065,11235,11306,11400,11521,11621,11629,11501,11484,11399,11352,11349,11393,11455,11520,11536,11546,11614,11555,11506,11347,11285,11217,11177,11098,10963,10841,10654,10412,10148,10010,9945,9819,9892,9874,9800,9733,9655,9549,9531,9467,9529,9588,9604,9827,10023,10045,10096,10026,10052,10036,10107,10114,10316,10537,10813,10613,10519,10603,10863,11038,11160,10969,10894,10915,11114,11228,11475,11786,11847,11934,11910,11822,11898,11917,11985,12109,12313,12345,12293,12272,12336,12466,12585,12798,12930,13043,13202,13338,13470,13656,13803,13681,13679,13654,13805,13825,13902,13900,14028,14188,14422,14753,14882,14624,14528,14694,14955,14690,14758,14770,14832,14930,15081,15085,15170,15197,15286,15389,15424,15373,15493,15553,15727,15804,15925,16100,16132,16313,16561,16599,16597,16434,16344,16448,16431,16428,16421,16535,16452,16094,15750,15567,15759,16044,16259,16289,16442,16432,16468,16456,16338,16000,15514,15526,15777,15896,15959,16183,16264,16258,16263,16314,16359,16365,16367,16295,16246,16167,16193,16312,16359,16399,16269,16232,16259,16353,16366,16545,16643,16810,16787,16650,16562,16414,16206,16035,15826,15745,15643,15476,15223,15194,15169,14947,14742,14407,14098,13843,13893,13639,13452,13498,13443,13241,12916,12574,12089,11946,11756,11509,11488,11410,11518,11603,11576,11455,11336,11254,11186,11218,11066,10935
Large hydro,1616,1726,1714,1734,1775,1693,1668,1670,1657,1644,1648,1633,1555,1459,1438,1442,1433,1422,1406,1204,1110,1106,1112,1101,1067,930,932,977,1042,1006,977,1039,1154,1171,1174,1179,1172,1179,1180,1182,1188,1189,1183,1195,1197,1186,1189,1197,1189,1157,1169,1160,1147,1146,1149,1174,1168,1180,1188,1179,1188,1424,1575,1610,1608,1619,1617,1619,1632,1607,1612,1624,1703,2081,2262,2298,2305,2304,2270,2264,2280,2271,2278,2251,2156,1953,1836,1834,1833,1832,1851,1884,1828,1809,1828,1809,1797,1683,1651,1645,1646,1620,1607,1609,1610,1616,1623,1636,1641,1529,1512,1505,1487,1453,1449,1448,1474,1480,1497,1480,1493,1501,1509,1502,1519,1531,1552,1535,1554,1576,1589,1574,1588,1643,1682,1613,1604,1612,1614,1611,1648,1685,1708,1661,1706,1734,1723,1699,1641,1623,1642,1660,1692,1713,1771,1764,1777,1940,2075,2040,2031,2061,2095,2087,2169,2187,2165,2172,2335,2614,2697,2670,2769,2817,2802,2838,2922,2937,2932,2986,2983,2844,2843,2851,2813,2828,2945,2962,2979,2993,2972,2943,2872,3016,3188,3265,3270,3275,3321,3344,3362,3441,3438,3475,3562,3694,3754,3782,3781,3751,3741,3708,3728,3816,3840,3823,3894,4298,4502,4457,4345,4346,4322,4296,4274,4355,4420,4417,4427,4552,4596,4644,4632,4630,4615,4606,4619,4548,4592,4574,4526,4379,4340,4238,4189,4114,4052,3916,3804,3791,3755,3909,3918,3754,3743,3845,3826,3767,3742,3763,3757,3703,3627,3612,3528,3362,3328,3237,3174,3176,3170,3163,3133,3139,3155,3176,3076,2899,2879,2865,2736,2688,2573,2530,2529,2487,2471,2451
Imports,8969,8700,8643,8707,8721,8612,8481,8508,8479,8477,8411,8353,8189,8140,8055,7923,7837,7823,7834,7897,7898,7876,7817,7750,7648,7561,7476,7384,7322,7441,7353,7258,7177,7194,7211,7191,7202,7202,7160,7170,7166,7232,7235,7252,7269,7328,7330,7387,7429,7492,7614,7682,7755,7792,7776,7776,7852,7833,7836,7987,8147,8155,8359,8462,8485,8552,8598,8611,8615,8655,8717,8889,9200,9335,9416,9563,9644,9668,9649,9648,9623,9550,9439,9445,9417,9691,9817,9606,9340,9141,8986,8826,8740,8726,8633,8496,8370,8287,8194,7955,7814,7716,7571,7401,7220,7105,6869,6739,6657,6481,6405,6302,6256,6151,6089,6093,6015,5958,5834,5795,5684,5922,6039,5964,5676,5548,5458,5699,5813,5801,5594,5612,5512,5197,5094,5225,5530,5583,5534,5572,5684,5609,5562,5544,5781,6235,6794,6875,6992,6973,6970,7012,7062,7036,7034,6993,7090,7191,7223,7362,7477,7487,7522,7639,7788,7773,7859,7719,7626,7545,7501,7413,7385,7484,7465,7586,7728,7730,7781,7995,7979,8094,8222,8200,8265,8377,8326,8235,8340,8429,8352,8294,8309,8230,8112,8048,7974,8124,8345,8256,8210,8290,8379,8225,8369,8585,8921,9220,9143,9124,9107,9209,9267,9339,9430,9718,9963,10096,10386,10577,10761,10922,11000,11031,11195,11323,11394,11515,11603,11509,11496,11578,11654,11844,11749,11604,11575,11655,11838,11870,11902,11982,12073,12045,11956,11712,11737,11834,11818,11802,11864,11708,11592,11531,11421,11212,11121,10982,10869,10869,10672,10749,11016,11074,10726,10713,10604,10333,10239,10210,10303,10315,10584,10487,10398,10395,10155,10177,9965,9778,9769,9796,9762,9648,9502,9394,9314,9280
Batteries,-72,-77,-33,31,54,24,-13,-22,-33,-59,-49,-53,-54,-34,-15,-18,-31,-53,-77,-42,-40,-56,-18,-23,-67,-35,1,-3,0,-13,-32,-15,-43,-49,-40,-10,-11,-12,-16,-4,-1,-1,-1,17,35,-2,-2,0,-7,14,58,45,23,1,27,76,66,83,76,41,-49,-45,-28,-18,-12,-9,-2,-4,-3,-31,-39,-60,-61,-27,-9,9,15,8,-33,-43,-22,-29,-40,-59,-57,-52,-47,-37,-37,-35,-30,-30,-29,-31,-29,-32,15,13,36,3,0,-23,-38,-37,-32,-24,-24,7,6,7,6,15,3,-39,-46,-39,-16,-9,-4,-6,8,-9,-5,-9,-7,0,5,-13,2,27,32,13,3,66,78,-3,-23,-23,-19,-11,78,103,92,47,50,16,5,10,-6,-29,-19,-12,10,37,48,48,43,5,40,12,31,41,66,70,54,48,33,9,-4,-37,-55,-48,-7,1,-13,5,36,39,61,58,81,8,-19,-43,-1,4,56,53,63,83,31,25,-5,-29,-27,-15,-10,0,-17,-39,-42,-36,-39,-1,27,11,29,48,39,12,12,-36,-24,4,-28,-15,-3,27,25,28,18,16,7,-40,-47,34,58,47,49,-11,-25,25,51,49,39,29,49,43,53,37,47,72,74,36,32,-1,-44,-55,-72,-92,-81,-77,5,-15,17,65,47,14,0,34,80,11,-99,-78,-57,2,46,1,-10,-1,8,25,-29,15,4,57,39,80,63,11,-30,-21,-32,24,10,-30,10,-30
Nuclear,2241,2241,2241,2241,2242,2243,2243,2243,2245,2245,2245,2246,2246,2246,2247,2246,2246,2247,2246,2247,2247,2246,2246,2247,2245,2246,2244,2244,2243,2242,2242,2241,2241,2241,2240,2241,2242,2240,2240,2240,2240,2239,2239,2240,2240,2240,2240,2241,2240,2241,2241,2241,2241,2241,2242,2242,2242,2243,2242,2244,2243,2243,2244,2243,2243,2244,2243,2245,2246,2245,2244,2246,2245,2245,2245,2245,2245,2247,2246,2247,2247,2246,2247,2247,2247,2247,2247,2247,2247,2246,2247,2246,2247,2247,2248,2247,2247,2248,2247,2249,2248,2248,2248,2246,2247,2246,2245,2245,2245,2245,2243,2243,2243,2242,2242,2243,2242,2243,2243,2243,2241,2241,2241,2240,2240,2240,2239,2240,2239,2239,2241,2240,2241,2240,2241,2241,2240,2241,2241,2241,2241,2240,2240,2240,2240,2240,2240,2241,2241,2242,2240,2242,2241,2241,2239,2236,2234,2232,2233,2232,2232,2233,2232,2231,2230,2231,2231,2231,2230,2231,2231,2231,2231,2232,2231,2231,2231,2230,2230,2230,2230,2230,2229,2229,2229,2230,2229,2230,2229,2229,2230,2229,2230,2229,2230,2229,2230,2230,2231,2231,2231,2232,2231,2232,2231,2232,2231,2232,2231,2231,2232,2233,2232,2232,2231,2232,2231,2232,2230,2232,2232,2231,2233,2232,2232,2232,2232,2232,2233,2232,2233,2233,2233,2233,2234,2234,2235,2235,2237,2236,2237,2237,2238,2237,2237,2238,2239,2239,2239,2240,2239,2240,2240,2240,2240,2242,2242,2244,2245,2244,2246,2247,2247,2248,2248,2248,2248,2249,2248,2249,2250,2250,2250,2250,2250,2250,2251,2251,2251,2252,2252,2251,2252,2251,2251,2251,2250,2250
Coal,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,16,16,15,16,16,16,15,16,16,16,16,16,16,16,16,15,16,15,15,16,16,16,16,16,16,16,16,16,17,17,16,16,16,16,16,18,18,17,17,16,16,16,16,18,17,16,17,17,18,16,17,16,17,17,17,17,17,16,15,15,14,15,15,16,17,17,15,15,15,15,15,15,15,16,16,16,16,18,18,17,17,18,18,18,18,19,18,17,18,19,19,19,18,19,18,18,18,19,18,18,18,17,18,18,19,19,19,19,19,19,19,19,19,19,20,19,20,19,20,19,19,19,19,18,18,18,17,18,17,17,17,17,16,16,16,16,16,16,16,15,15,14,15,15,15,16,15,15,16,16,16,16,16,15,15,15,15,16,16,14,16,16,16,16,15,15,15,15,15,15,16,15,15,16,16,16,15,15,15,15,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,15,15,14,14,14,14,15,15,16,16,15,15,15,15,14,14,15,14,15,14,15,15,15,15,15,15,14,14,16,16,16,15,14,14,14,14,15,15,15,15,15,15,15,15,16,17,17,17,17,17,17,17,16,15,15,15,16,17,17,17,18,17,17,18,18,18,18,18
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
