Supply 10/11/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,2404,2424,2430,2433,2433,2429,2427,2421,2400,2404,2419,2437,2470,2488,2510,2525,2532,2540,2549,2568,2584,2584,2592,2614,2626,2634,2640,2637,2638,2639,2619,2613,2623,2628,2631,2638,2639,2621,2606,2586,2583,2576,2557,2537,2509,2474,2432,2405,2399,2412,2414,2401,2383,2373,2357,2345,2341,2343,2339,2336,2329,2332,2339,2336,2342,2350,2350,2347,2338,2313,2280,2272,2274,2279,2281,2269,2271,2268,2271,2278,2283,2285,2310,2350,2402,2495,2627,2806,3060,3338,3667,4017,4403,4807,5206,5565,5920,6343,6759,7249,7775,8147,8574,8983,9367,9800,10129,10360,10564,10718,10936,11152,11433,11682,11795,11897,11956,12091,12159,12173,12249,12320,12435,12538,12592,12653,12692,12739,12811,12841,12849,12867,12911,12935,12947,12975,12931,12831,12875,12863,12835,12800,12869,12882,12867,12886,12907,12902,12952,12923,12914,12901,12890,12907,12895,12861,12699,12486,12562,12672,12740,12776,12787,12808,12839,12845,12814,12733,12723,12776,12258,11798,11828,11854,11805,11535,11475,11484,11440,11409,11522,12131,12457,12465,12396,12340,12242,12121,12016,11788,11485,11319,11031,10381,10100,9922,9732,9517,9421,9586,9398,9077,8679,8256,7749,6996,6483,6053,5642,5214,4806,4419,3993,3601,3213,2914,2657,2472,2329,2231,2118,2036,1992,1972,1928,1912,1913,1917,1916,1924,1935,1935,1937,1941,1944,1950,1943,1937,1933,1934,1933,1932,1930,1925,1923,1927,1929,1927,1924,1921,1920,1920,1924,1929,1919,1913,1912,1906,1898,1898,1888,1885,1889,1890,1883,1888,1890,1884,1886,1903,1910,1905,1892,1887,1887,1894,1894,1906,1911,1914,1915,1912,1919,1917,1918,1921,1922,1925,
Natural gas,10104,10120,10035,9878,9784,9718,9612,9470,9390,9307,9316,9338,9381,9358,9259,9176,9111,9094,9101,9064,8996,8912,8873,8849,8787,8854,8730,8583,8369,8342,8312,8209,8266,8268,8281,8204,8172,8253,8255,8271,8274,8329,8353,8363,8380,8330,8354,8394,8427,8604,8592,8630,8659,8684,8737,8726,8765,8755,8827,8898,8929,8981,8940,9004,9169,9157,9298,9383,9460,9534,9696,9725,9686,9710,9731,9730,9883,9958,10059,10214,10270,10394,10437,10495,10535,10428,10337,10330,10325,10245,10080,9861,9740,9647,9367,9155,9049,8949,8922,8863,8757,8533,8185,7994,7807,7488,7271,7156,7134,6923,6894,6894,6844,6638,6483,6456,6405,6361,6521,6630,6624,6577,6462,6477,6436,6404,6394,6313,6249,6275,6290,6291,6280,6233,6234,6251,6239,6340,6287,6232,6229,6236,6207,6190,6199,6213,6212,6217,6206,6217,6185,6220,6205,6208,6182,6207,6252,6407,6529,6506,6543,6608,6615,6642,6656,6688,6696,6712,6752,6902,7172,7610,7701,7652,7730,7975,8081,8180,8407,8410,8458,8313,8128,8022,8144,8161,8249,8389,8167,8326,8913,9074,9209,9546,9627,9779,9818,10027,10276,10204,10276,10583,10671,10776,10841,11342,11315,11513,11963,12192,12471,12675,12792,12984,13145,13302,13376,13271,13177,13204,13461,13470,13393,13623,13811,13896,13820,13703,13670,13734,13735,13711,13729,13621,13569,13500,13457,13450,13306,13242,13218,12883,12627,12640,12492,12371,12370,12163,12010,12001,11950,11802,11803,11955,11986,11980,11909,11764,11611,11568,11532,11424,11268,11399,11548,11529,11571,11578,11483,11440,11437,11401,11337,11231,11143,11037,10974,10744,10739,10640,10593,10610,10576,10528,10353,10219,10043,10008
Large hydro,2412,2258,2282,2279,2248,2253,2300,2298,2299,2249,2227,2180,2123,1973,2000,2001,1949,1897,1904,1917,1984,1982,1976,1976,2020,2129,2197,2218,2182,2136,2171,2074,2020,1994,1992,2000,1996,1998,1994,1990,1988,1991,1994,2006,2015,2013,2012,2013,1993,2138,2185,2174,2181,2193,2218,2241,2308,2353,2374,2371,2352,2378,2450,2474,2541,2526,2574,2611,2627,2642,2720,2758,2814,2752,2848,2881,2902,2974,2996,2995,3010,3021,3036,3064,3061,3029,3012,2992,2961,2951,2870,2724,2707,2657,2657,2635,2501,2288,2176,2153,2106,2070,2069,2061,2066,2030,2001,1941,1955,1853,1811,1791,1780,1734,1736,1768,1775,1747,1443,1431,1411,1389,1388,1419,1421,1422,1412,1434,1438,1431,1423,1398,1369,1305,1262,1262,1274,1278,1273,1284,1289,1289,1283,1268,1278,1275,1263,1258,1241,1247,1241,1244,1241,1235,1211,1162,1181,1247,1290,1275,1266,1281,1282,1290,1285,1280,1279,1283,1294,1365,1383,1361,1396,1431,1425,1350,1307,1288,1293,1331,1359,1550,1644,1635,1679,1708,1722,1968,2006,2028,2002,2050,2058,2049,2021,2005,2055,2099,2089,2108,2089,2143,2166,2202,2312,2745,2994,3019,3098,3157,3199,3259,3301,3294,3284,3297,3317,3383,3367,3322,3351,3405,3426,3399,3417,3419,3449,3483,3471,3446,3440,3444,3456,3431,3362,3343,3337,3329,3328,3306,3281,3280,3308,3244,3277,3235,3185,3139,3212,3220,3218,3225,3206,3062,3058,3039,2957,2917,2902,2890,2875,2871,2789,2766,2806,2724,2728,2723,2699,2643,2635,2641,2644,2644,2640,2646,2667,2556,2518,2521,2513,2536,2520,2492,2481,2479,2419,2430
Imports,5638,5749,5803,5856,5882,5851,5853,5906,5927,5942,5899,5811,5709,5825,5881,5836,5831,5851,5788,5740,5659,5646,5666,5607,5569,5351,5323,5394,5576,5624,5634,5724,5707,5719,5682,5719,5693,5694,5748,5742,5726,5673,5647,5671,5677,5742,5763,5751,5777,5608,5604,5622,5666,5664,5667,5722,5699,5660,5608,5608,5723,5835,5980,5957,5867,5916,5858,5869,5934,6006,5870,6006,6166,6421,6674,6875,6850,6861,6876,6920,6990,6949,6953,6925,6895,7103,7216,7160,6988,6781,6657,6727,6527,6250,6134,5891,5768,5689,5510,5112,4745,4606,4525,4256,4132,4018,3921,3795,3576,3679,3611,3458,3282,3287,3309,3163,3169,3062,3332,3320,3280,3269,3244,3128,3111,3082,3049,3038,3040,2995,2926,2926,2895,2934,2950,2914,2922,2947,2938,2980,3000,3027,2986,3012,2992,2968,2981,3012,2946,2998,3043,3120,3151,3156,3235,3377,3488,3541,3388,3368,3362,3322,3370,3379,3411,3440,3525,3623,3644,3419,3644,3706,3679,3698,3688,3817,3940,3937,3874,3898,3775,3312,3116,3304,3322,3354,3473,3167,3339,3462,3361,3392,3564,3881,4221,4368,4543,4602,4591,4531,4727,4819,5167,5557,5982,5777,5945,6167,6184,6320,6450,6542,6610,6864,7128,7362,7642,7738,7923,8092,8008,8127,8269,8150,8171,8179,8352,8433,8455,8340,8261,8231,8156,8176,8240,8238,8200,8195,8289,8299,8238,8503,8579,8546,8630,8667,8625,8805,8789,8670,8653,8678,8574,8436,8375,8279,8247,8319,8401,8362,8247,8273,8343,8213,7899,7772,7553,7400,7379,7429,7350,7191,7118,7093,6957,6922,6867,6979,6897,6857,6777,6639,6507,6479,6544,6549,6615,6567
Batteries,-11,-11,-8,-2,-2,-2,-2,-2,-2,-2,-2,-4,-13,-28,-22,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-3,-6,-10,-3,-8,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-8,-19,2,-1,-1,-1,-1,-1,-1,-1,28,4,4,-2,-11,-7,-3,-3,-4,-5,-8,-7,-7,-6,-6,-5,-2,0,8,39,4,3,3,3,-10,-6,-1,-1,-1,6,3,-32,-12,9,5,2,-20,-21,-4,-2,18,9,3,-3,-39,-34,-4,0,-18,-21,-26,-25,-25,-11,-5,-11,1,0,0,0,0,0,-9,-12,-11,-2,-2,-2,11,-1,-1,-1,3,-1,-1,-1,-5,-7,-3,-17,-4,-8,-3,-3,-6,-3,-12,-3,20,32,5,-1,0,0,4,0,0,0,1,0,-10,-11,-7,-2,1,0,-18,-6,-25,-12,-5,-2,-1,0,-8,13,23,27,66,44,26,4,24,0,6,0,-2,-2,13,29,30,-3,-3,-3,-1,0,1,4,7,17,22,33,42,23,25,19,24,20,16,8,9,7,3,-7,-18,-26,-23,3,6,2,8,9,8,23,11,11,10,9,11,23,25,19,12,6,5,10,0,-12,-9,-7,0,0,0,0,-13,0,-5,19,22,0,0,0,0,0,0,1,37,37,76,24,-24,-7,15,15,19,15,15,-11,3,0,0,0,0,0,0,0,0,0,0
Nuclear,1136,1135,1135,1135,1135,1135,1134,1135,1136,1136,1135,1135,1135,1135,1135,1134,1134,1134,1135,1135,1135,1135,1135,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1135,1136,1135,1135,1136,1135,1136,1135,1135,1134,1134,1134,1134,1135,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1135,1134,1135,1134,1135,1135,1135,1135,1134,1135,1134,1135,1135,1136,1135,1136,1135,1135,1135,1135,1135,1135,1135,1135,1135,1134,1135,1135,1134,1134,1135,1134,1134,1134,1133,1134,1134,1134,1134,1134,1134,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1135,1134,1134,1134,1134,1135,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1133,1133,1133,1134,1133,1133,1133,1133,1132,1132,1133,1133,1132,1132,1132,1132,1132,1132,1132,1131,1131,1131,1131,1132,1131,1131,1131,1131,1131,1131,1132,1132,1131,1131,1132,1132,1132,1132,1132,1132,1132,1132,1133,1133,1132,1132,1132,1132,1132,1132,1132,1133,1133,1133,1133,1133,1133,1132,1132,1132,1132,1131,1131,1131,1131,1131,1131,1130,1130,1131,1131,1131,1131,1132,1131,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1133,1133,1133,1133,1134,1134,1134,1134,1134,1134,1133,1133,1133,1134,1133,1133,1133,1133,1133,1133,1132,1133,1133,1133,1133,1133,1133,1133,1133,1132,1133,1133,1133,1133,1132,1133,1132,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134
Coal,9,10,10,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,11,11,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,11,11,11,11,11,11,11,11,11,11,11,10,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,10,10,10,10,11,11,9,10,10,10,10,10,10,11,10,10,10,10,11,10,9,9,10,10,10,10,10,10,10,11,10,10,11,11,11,11,11,12,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,15,16,16,15,16,16,16,17,17,17,18,17,17,17,17,17,16,16,16,16,16,16,17,16,16,16,16,15,16,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15,15,15,14,15,14,14,15,15,15,15,15,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,16,16,17,17,17,17,17,17,17,16,17,17,17,17,16
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
