Supply 10/29/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,2414,2403,2425,2471,2500,2536,2608,2651,2709,2727,2714,2687,2681,2673,2695,2688,2678,2656,2642,2622,2634,2629,2625,2617,2599,2588,2590,2600,2624,2650,2686,2679,2677,2659,2655,2683,2713,2701,2683,2660,2632,2605,2578,2551,2531,2498,2491,2501,2523,2535,2561,2561,2569,2549,2534,2525,2515,2543,2542,2513,2501,2510,2516,2535,2583,2652,2708,2750,2813,2878,2905,2904,2895,2890,2878,2853,2855,2861,2875,2889,2874,2853,2851,2860,2870,2896,2955,3031,3124,3240,3401,3600,3810,4050,4334,4682,5084,5521,5933,6338,6727,7090,7492,7884,8261,8626,9006,9393,9722,10010,10258,10625,10786,10958,11066,11150,11202,11286,11379,11485,11620,11679,11770,11917,12015,12097,12142,12174,12201,12234,12211,12219,12214,12177,12208,12276,12332,12390,12456,12443,12412,12177,11983,11970,11989,11935,11919,11813,11702,11683,11727,11825,11985,12036,12083,12210,12165,12392,12524,12561,12537,12549,12571,12651,12695,12702,12699,12708,12726,12616,12600,12468,12464,12512,12470,12449,12419,12410,12347,12300,12220,12266,12168,12161,11887,11804,11781,11655,11677,11596,11416,11243,10996,10731,10429,10216,10078,9559,8948,8675,8194,7740,7322,6896,6403,5924,5456,5007,4558,4096,3710,3414,3145,2913,2727,2536,2391,2298,2206,2119,2074,2043,2007,1976,1948,1910,1895,1896,1894,1884,1857,1842,1844,1856,1842,1832,1837,1865,1933,1981,2021,2060,2095,2100,2107,2133,2188,2230,2264,2297,2336,2371,2405,2419,2443,2475,2493,2488,2487,2531,2585,2650,2705,2723,2715,2723,2711,2703,2663,2642,2642,2626,2594,2603,2641,2677,2709,2709,2727,2787,2788,2770,2754,2734,2753,2763,2745,2756,
Natural gas,9735,9793,9684,9573,9541,9558,9492,9427,9318,9185,9147,9074,9009,9068,8991,8830,8699,8628,8612,8592,8559,8543,8536,8513,8516,8481,8445,8416,8428,8402,8418,8448,8439,8430,8430,8410,8438,8737,8842,8867,8857,8861,8864,8862,8857,8854,8865,8927,9021,9169,9184,9182,9192,9205,9239,9371,9450,9514,9591,9660,9637,9650,9735,9427,9538,9537,9669,9878,10033,10104,10296,10263,10338,10782,11028,11081,11338,11488,11730,12089,12195,12263,12316,12313,12308,12356,12160,12061,11872,11810,11757,11667,11598,11461,11218,11105,10991,10673,10565,10400,9949,9433,9225,8963,8721,8351,8050,8026,7938,7732,7275,6884,6568,6329,6375,6412,6363,6261,6152,6091,6120,6231,6242,6154,6049,6005,6001,6004,5997,5998,6008,6018,5987,6140,6079,6541,6492,6450,6492,6502,6501,6473,6470,6463,6557,6583,6563,6722,6751,6808,6757,6762,6796,6807,6858,6815,6790,6824,6756,6753,6784,6874,6920,6896,6912,6935,7031,7043,7045,7131,7232,7194,7145,6828,6950,7006,7076,7039,7101,7166,7338,7274,7201,7286,7487,7659,7714,7773,7879,7976,8123,8290,8328,8526,8467,8446,8627,8890,9291,9545,9804,10071,10547,10591,10578,10993,10935,10945,11192,11533,12040,12246,12330,12451,12961,13196,13388,13559,13822,14080,14351,14334,14541,14700,14854,14874,14870,14820,14767,14795,14774,14734,14673,14642,14766,14647,14538,14523,14373,14287,14360,14242,14200,14150,13907,13895,13886,13789,13755,13693,13473,13405,13369,13375,13303,13215,13028,12960,12974,12592,12441,12390,12400,12397,12467,12396,12335,12302,12183,12140,12099,12056,12120,12073,12103,11999,11911,11596,11257,11082,10954,10797,10638,10573,10545,10509,10477,10420
Large hydro,1671,1589,1592,1571,1444,1393,1384,1382,1381,1379,1385,1380,1349,1297,1277,1278,1283,1280,1277,1269,1266,1269,1275,1275,1274,1271,1269,1269,1266,1266,1262,1266,1268,1268,1268,1262,1089,947,944,947,953,957,966,965,960,957,963,961,964,997,1015,1019,1031,1054,1047,1031,1022,1023,1030,1051,1181,1298,1460,1709,1680,1697,1677,1695,1705,1702,1694,1788,1916,1766,1776,1936,2026,2018,2028,2067,2218,2360,2425,2478,2535,2563,2620,2613,2622,2591,2456,2345,2373,2235,2200,2196,2109,1959,1963,1911,1917,1855,1761,1691,1808,1755,1679,1693,1608,1562,1597,1617,1696,1710,1690,1543,1546,1538,1523,1511,1508,1471,1518,1450,1408,1412,1415,1413,1398,1385,1394,1425,1409,1288,937,717,727,724,722,709,703,690,697,684,705,736,737,735,736,736,740,735,734,731,734,733,732,767,744,717,729,726,727,687,701,693,717,729,732,761,799,774,932,1084,1076,1079,1079,1079,1090,1089,1087,1088,1091,1107,1121,1116,1121,1118,1111,1112,1124,1302,1431,1774,1826,1855,1874,1932,1973,1971,1987,1977,2014,2029,2153,2338,2498,2529,2538,2612,2730,2861,2928,3038,3088,3113,3065,3015,3064,3074,3096,3127,3122,3126,3109,3084,3076,3077,3102,3086,3059,3055,3069,3046,2996,3013,3043,2979,2997,2964,2948,2860,2794,2785,2792,2766,2742,2590,2566,2545,2536,2464,2352,2378,2384,2405,2438,2399,2391,2414,2399,2360,2271,2236,2265,2273,2416,2458,2339,2240,2065,1916,1872,1859,1830,1806,1777,1798,1854,1784,1777,1784,1772,1764,1761,1762,1745,1727
Imports,5802,5761,5824,5774,5763,5673,5630,5586,5598,5624,5565,5598,5619,5545,5575,5633,5667,5724,5736,5686,5660,5642,5591,5584,5586,5598,5612,5554,5467,5463,5306,5257,5237,5234,5206,5219,5380,5474,5405,5384,5418,5405,5416,5452,5483,5524,5555,5500,5435,5309,5331,5370,5366,5378,5386,5376,5407,5378,5393,5451,5528,5476,5422,5262,5213,5251,5185,5079,5011,4994,4929,5063,5026,5068,5276,5319,5136,5198,5248,5150,5181,5089,5138,5260,5360,5417,5615,5664,5820,5807,5849,5840,5678,5554,5579,5334,5131,5195,5049,4788,4839,4914,4809,4656,4360,4271,4199,3880,3638,3595,3655,3632,3670,3611,3423,3389,3350,3230,3209,3061,2898,2724,2568,2417,2460,2387,2245,2169,2141,2023,1995,1937,1905,1893,2237,2219,2111,2100,2024,2022,2001,2206,2426,2499,2360,2255,2261,2175,2244,2201,2144,2049,1836,1825,1797,1735,1770,1534,1539,1567,1661,1582,1519,1524,1486,1463,1446,1445,1421,1480,1407,1584,1584,1429,1303,1286,1188,1319,1368,1404,1414,1528,1749,1755,1819,1787,1853,1957,1915,1977,2100,2093,2260,2032,2300,2550,2470,2780,2996,3099,3270,3568,3639,4156,4674,4662,5080,5584,5927,6099,6012,6045,6252,6377,6181,6203,6309,6302,6409,6394,6318,6454,6347,6412,6396,6413,6443,6509,6523,6413,6368,6387,6445,6422,6303,6383,6391,6415,6442,6399,6298,6339,6356,6340,6494,6471,6347,6403,6401,6386,6488,6464,6463,6408,6378,6314,6283,6217,6129,6290,6361,6242,6143,6051,5878,5770,5565,5388,5426,5440,5503,5572,5516,5409,5244,5182,5150,5313,5402,5485,5594,5643,5712,5711,5598,5503,5435,5391
Batteries,17,-24,-18,-5,26,33,6,-5,-6,-3,4,4,4,38,5,0,3,3,3,1,-2,-3,-2,0,3,0,-5,-9,-3,-7,-7,-2,-3,-2,-2,-13,-39,-3,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-9,-1,5,18,10,2,2,0,-15,-20,-27,7,30,-20,-19,-19,-20,-23,-23,-24,-8,16,-11,-28,-23,-9,-26,-43,-47,-47,-47,-47,-47,-47,-45,-29,10,5,8,3,-2,7,12,1,4,3,-44,-12,-35,-33,-61,-56,-62,-24,-76,-78,-70,-34,-58,-49,-12,-16,17,13,9,-31,-21,-23,-15,-14,-14,-29,-14,-25,-25,-27,-18,-23,-34,-36,-29,-18,-24,-60,-29,-19,1,-8,-24,-25,-24,-36,-36,-38,-14,-34,-18,-12,-14,-23,-23,-8,-6,-31,-27,-28,-11,-27,-18,-6,-6,-19,-19,-14,-24,-14,-14,-13,-12,-18,-22,-31,-17,-28,-11,-21,-24,-37,-7,-15,-22,-73,-43,-43,-34,-18,-38,-40,-45,-40,-43,-50,-57,-59,-50,-29,7,24,52,29,72,64,78,44,36,18,-3,-3,-1,17,8,4,-7,-32,-36,-7,0,-24,-50,-35,-26,-20,-29,-27,-35,-38,-42,-38,-30,-22,-9,-4,-4,-4,-4,18,25,7,20,0,-2,-6,-9,-8,-8,-9,-8,-10,-9,-13,-15,-14,-15,-35,-70,-53,-37,-46,-34,-26,-35,-43,-43,-58,-21,-14,-6,-12,5,3,2,11,4,3,3,3,3,32,25,0,-3,-4,-2,-1,-2,-1,-1,-1
Nuclear,1127,1127,1127,1126,1127,1125,1126,1126,1127,1126,1126,1126,1126,1126,1124,1126,1125,1125,1125,1126,1125,1126,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1124,1125,1125,1125,1125,1125,1125,1126,1126,1125,1125,1125,1125,1125,1125,1125,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1125,1126,1126,1126,1125,1125,1125,1125,1125,1125,1125,1125,1125,1124,1125,1125,1125,1125,1125,1126,1125,1125,1126,1125,1126,1125,1126,1126,1126,1126,1126,1126,1126,1125,1126,1126,1126,1125,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1125,1126,1125,1126,1125,1125,1125,1125,1125,1126,1125,1125,1125,1126,1125,1125,1125,1125,1126,1125,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1125,1125,1125,1126,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1124,1125,1124,1125,1124,1124,1125,1124,1124,1123,1123,1123,1123,1123,1123,1123,1123,1124,1123,1123,1123,1124,1123,1123,1123,1123,1123,1123,1124,1123,1123,1124,1123,1123,1124,1123,1123,1123,1123,1123,1124,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1122,1123,1123,1123,1123,1123,1123,1123,1124,1123,1123,1123,1124,1123,1124,1123,1123,1124,1124,1124,1124,1124,1125,1124,1125,1124,1125,1124,1125,1125,1125,1125,1125,1124,1124,1124,1125,1126,1128,1128,1127,1127,1128,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
Coal,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,15,14,15,14,14,15,15,15,15,14,14,14,14,14,14,13,14,14,14,14,14,13,13,14,13,14,14,14,14,14,14,14,14,14,13,13,13,14,14,15,14,14,14,14,13,13,14,14,14,14,14,14,14,14,15,15,15,11,13,13,14,14,14,13,14,13,13,13,13,13,13,13,14,14,14,14,14,14,15,14,14,15,15,14,14,14,14,15,15,14,14,14,16,16,16,16,16,16,16,16,16,15,15,16,16,15,15,15,16,16,16,15,16,16,16,16,16,17,18,18,18,17,17,16,16,16,17,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,16,15,14,14,15,15,14,14,14,14,14,14,14,14,13,13,13,13,14,14,14,13,14,15,14,14,14,14,15,15,15,14,14,14,15,15,15,15,15,16,16,16,16,16,15,16,16,15,15,15,15,16,16,16,16,16,15,14,15,15,15,14,14,14,14,14,14,14,14,14,15,15,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,15,15,15,16,16,17,16,16,16,16,16,16,16,16,16,16,16
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
