Supply 08/06/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,5967,5933,5914,5905,5898,5886,5881,5869,5854,5843,5820,5796,5772,5748,5732,5720,5729,5730,5714,5708,5697,5712,5710,5720,5726,5707,5692,5677,5681,5674,5661,5653,5632,5620,5640,5652,5609,5585,5546,5541,5522,5520,5513,5493,5455,5458,5449,5456,5423,5405,5379,5360,5362,5331,5333,5348,5362,5367,5356,5344,5336,5347,5296,5236,5197,5167,5169,5134,5086,5055,5038,4980,4937,4898,4905,4922,4985,5053,5156,5304,5446,5612,5810,5986,6179,6429,6703,7040,7353,7682,7991,8354,8736,9101,9461,9786,10086,10359,10697,10995,11260,11454,11607,11792,11990,12127,12236,12447,12584,12718,12799,12859,12915,12987,13035,13084,13093,13110,13095,13101,13095,13107,13132,13147,13182,13194,13175,13186,13226,13212,13226,13230,13188,13181,13175,13164,13148,13174,13195,13215,13238,13265,13272,13271,13248,13264,13312,13408,13442,13449,13422,13436,13456,13461,13481,13498,13483,13488,13508,13490,13534,13558,13588,13641,13683,13726,13740,13737,13760,13791,13821,13836,13846,13870,13895,13898,13904,13913,13911,13940,13939,13977,13986,14059,14135,14218,14247,14318,14364,14411,14457,14465,14465,14461,14450,14418,14359,14315,14322,14268,14217,14147,14054,13931,13821,13719,13578,13417,13258,13111,12935,12772,12587,12356,12124,11862,11615,11348,11063,10729,10365,10014,9661,9290,8925,8567,8224,7931,7658,7308,7051,6833,6672,6569,6487,6442,6416,6381,6329,6311,6329,6359,6378,6427,6455,6454,6460,6425,6392,6357,6346,6323,6307,6305,6292,6259,6256,6274,6287,6307,6304,6316,6299,6273,6238,6204,6155,6081,6034,6015,5999,5985,5982,5986,5972,5968,5989,6005,5917,5903,5900,5899,5877,5865,5807,5747,5713,5640,
Natural gas,11461,11259,11061,11256,11241,11246,10695,10837,10926,10444,10436,10737,10911,10482,10195,10356,10259,10331,10129,10111,10067,10013,9946,9858,9834,9715,10052,9788,9914,9616,9450,9544,9382,9521,9322,9358,9574,9367,9824,9427,9394,9370,9283,9276,9317,9270,9251,9273,9254,9247,9358,9659,9786,9789,9791,9586,9369,9668,9834,9841,9530,9588,9690,9809,10046,9935,10188,10054,10331,10448,10278,10308,10134,10194,10256,10337,10177,10110,10089,10103,10039,10054,10025,10008,9987,10047,10129,10186,9967,9962,9987,10011,10034,9590,9311,9219,9246,9361,9312,9636,9231,9105,9268,9299,9362,9124,9349,9510,9285,9107,9034,9076,9291,9458,9475,9540,9616,9838,9957,10034,10234,10535,10910,10565,10774,10888,11550,11309,11166,11326,11309,11402,11617,11852,11795,11833,12004,12295,12555,12652,12625,12832,13136,13447,14044,14227,14181,14091,14291,14414,14700,14812,14982,15161,15333,15416,15466,15366,15024,15162,15789,15678,15771,15717,15701,15850,15981,16130,16323,16679,16596,16736,16802,17021,17244,17224,17245,17421,17595,17765,17873,18089,18134,18220,18140,18236,18245,18337,18385,18443,18586,18886,19083,18757,18669,18746,18822,18918,19088,19145,19151,19414,19728,19789,19722,19542,19410,19393,19569,19730,20014,20116,20058,20098,20147,20116,20189,20067,20070,20136,20293,20417,20821,21314,21684,21955,22006,21993,22035,22066,21995,21974,21929,21928,21976,21961,21763,21548,21347,21389,21244,21312,21208,21205,21194,21162,20982,20712,20378,20253,20136,20091,20152,19918,19748,19508,19108,18867,18557,18142,17711,17442,17092,16880,16893,16780,16820,16689,16431,16149,16016,15556,15133,14962,14813,14749,14548,13959,13592,13459,13270,13104,13038,13001,12937,12869,12807,12793
Large hydro,2301,2285,2299,1890,1874,2002,2269,1845,2034,2228,2148,1646,1687,1763,1855,1695,1614,1810,1805,1807,1795,1785,1800,1809,1806,1678,1394,1529,1387,1770,1764,1634,1765,1634,1762,1610,1702,1493,1409,1588,1575,1576,1572,1583,1577,1569,1573,1566,1567,1576,1599,1205,1197,1195,1408,1474,1614,1207,1223,1343,1612,1677,1720,1729,1540,1731,1534,1717,1346,1595,1546,1704,1657,1782,1907,1797,1934,1915,1892,1906,1918,1923,1925,1905,1859,1755,1732,1562,1684,1692,1691,1590,1729,1708,1691,1680,1661,1409,1220,1274,1487,1532,1151,1560,1352,1545,1335,1281,1529,1532,1560,1559,1610,1495,1628,1630,1642,1686,1718,1651,1633,1460,1571,1769,1797,1673,1402,1579,1735,1774,2066,2046,1982,2094,2158,2178,2154,2107,2077,2111,2121,2116,2109,1921,1790,1802,1892,1916,1936,1940,1940,1989,1957,1933,1926,1983,2085,2549,2682,2584,2479,2522,2576,2588,2594,2610,2669,2708,2828,3132,3408,3454,3513,3505,3534,3527,3523,3523,3518,3537,3574,3716,3850,3908,3918,3911,3931,3934,3942,3941,3926,3904,3852,3946,3981,4010,4065,3940,3866,3989,4107,4151,4173,4247,4232,4314,4296,4374,4498,4501,4485,4551,4590,4620,4707,4791,4795,4755,4707,4796,4898,4971,4951,4922,4956,4919,4956,4995,4922,4907,4876,4838,4831,4804,4775,4769,4780,4721,4522,4514,4485,4648,4720,4718,4667,4667,4620,4679,4720,4695,4637,4571,4523,4563,4584,4584,4465,4452,4404,4313,4213,4173,4164,4144,4107,3986,3938,3861,3782,3673,3558,3530,3505,3459,3403,3326,3112,2947,2967,2793,2772,2728,2703,2540,2567,2556,2490,2357
Imports,6595,6565,6578,6568,6555,6397,6395,6395,6343,6322,6315,6450,6461,6496,6551,6500,6378,6341,6288,6181,6099,6055,6019,5970,5928,6006,6109,6095,6067,6072,6060,6035,6020,5981,5992,5906,5866,5950,5940,5911,5971,6053,6127,6061,6049,6101,6107,6074,6103,6130,6076,6079,6124,6182,6191,6112,6250,6257,6272,6303,6277,6381,6449,6491,6584,6617,6723,6832,6918,6979,7084,7261,7586,7633,7721,7703,7713,7725,7694,7699,7677,7579,7492,7357,7324,7447,7400,7292,7124,6950,6722,6491,6394,6303,6231,6170,6013,6008,5935,5767,5682,5640,5570,5403,5267,5230,5160,5054,5036,5214,5319,5315,5131,5058,4997,4956,4988,4862,4815,4940,4885,4847,4826,4807,4732,4596,4595,4650,4702,4614,4246,4143,4159,3918,3969,4137,4152,4057,4001,4018,4107,4062,3939,4102,3921,3957,4027,4112,4054,4026,3925,3913,4028,4072,4114,4193,4294,4042,4142,4292,3957,4195,4211,4413,4563,4536,4504,4570,4470,3918,3805,3725,3745,3775,3702,3814,3903,3926,3891,3922,3957,3704,3589,3558,3703,3795,3892,3852,3853,3898,3866,3713,3659,3911,4015,4058,4168,4269,4405,4373,4214,4185,4030,4102,4300,4423,4508,4588,4562,4638,4592,4655,4789,4938,5095,5302,5438,5588,5736,6007,6124,6232,6165,5991,5949,5990,6180,6314,6391,6473,6754,6866,6982,6926,6865,6826,6933,7124,7406,7377,7519,7294,7338,7417,7455,7459,7601,7782,7825,7895,7899,7893,7686,7649,7571,7599,7887,7904,8023,8234,8470,8572,8604,8512,8219,7971,7710,7737,7807,7890,7905,8183,8331,8296,8248,8054,8116,8459,8650,8618,8603,8535,8420,8303,8216,8085,7958,7911
Batteries,-19,11,14,1,0,2,-9,-15,-22,-27,-54,-16,-15,8,8,-27,-37,-36,-37,-24,-20,-33,-12,-20,-20,-15,-18,-8,-13,-19,-23,-20,-24,-21,-26,-51,-38,-32,-32,-40,-43,-47,-47,-40,-46,-44,-40,-42,-32,-25,-14,-7,-10,-9,-10,-13,-10,-10,-8,-7,-8,-9,-9,6,-1,1,-8,-11,-8,-13,-7,-10,-19,-7,-6,0,0,-6,-7,-4,-8,-4,-6,-5,-6,-8,-7,-8,-7,-7,-8,-6,-8,-9,-12,-10,-9,-5,-2,0,2,-1,-4,-8,-13,-7,-1,-2,-12,-7,-3,-7,5,2,20,-5,25,26,17,25,14,-17,-22,-18,11,15,15,-13,-39,-46,-33,-18,13,23,31,26,24,-20,-17,-14,-8,4,8,27,5,-21,-26,-15,-10,2,11,18,11,-7,-9,23,28,16,11,-3,-25,-13,-3,-4,-4,-4,-4,-2,-2,-7,-3,-3,-4,-1,-2,-4,-4,-5,-5,-4,9,2,5,7,5,-3,-2,0,0,5,6,6,4,13,17,17,17,17,17,77,75,21,20,51,7,-2,6,26,7,11,-3,-21,17,35,28,19,30,52,30,29,43,58,86,110,110,109,109,109,107,74,55,55,50,55,50,47,18,5,4,3,7,16,13,13,8,-8,-17,29,40,22,-3,-6,-6,-29,-24,-41,-8,-16,-47,-50,-52,-47,-41,-52,-43,40,57,56,49,45,-7,12,38,-38,-50,-53,-51,1,23,21,20,-4,-20,-19,15,13,6,-15
Nuclear,2270,2271,2271,2271,2271,2271,2270,2271,2271,2270,2271,2271,2271,2270,2270,2271,2271,2271,2271,2271,2271,2272,2271,2271,2272,2270,2270,2270,2270,2271,2271,2270,2271,2270,2272,2271,2272,2271,2270,2271,2270,2270,2272,2271,2271,2271,2271,2271,2271,2271,2271,2271,2272,2272,2271,2271,2271,2271,2271,2271,2272,2271,2270,2271,2271,2272,2272,2271,2271,2272,2271,2271,2271,2271,2270,2270,2270,2271,2271,2271,2271,2271,2271,2271,2271,2272,2272,2271,2271,2272,2272,2272,2273,2272,2273,2273,2274,2273,2273,2274,2273,2273,2274,2273,2274,2273,2274,2273,2273,2273,2273,2273,2273,2272,2273,2273,2272,2272,2272,2272,2273,2271,2270,2271,2270,2271,2271,2271,2271,2271,2272,2271,2271,2272,2272,2271,2271,2271,2271,2271,2271,2272,2271,2270,2272,2270,2270,2270,2270,2269,2269,2269,2268,2268,2269,2270,2268,2269,2268,2268,2268,2269,2268,2268,2268,2267,2268,2268,2268,2267,2268,2268,2267,2268,2269,2269,2268,2269,2269,2270,2269,2269,2270,2270,2270,2269,2271,2269,2270,2270,2270,2270,2270,2270,2269,2270,2269,2270,2270,2269,2270,2270,2270,2269,2269,2269,2269,2270,2271,2270,2270,2270,2271,2270,2270,2270,2270,2270,2270,2270,2271,2271,2271,2271,2272,2271,2272,2271,2272,2272,2272,2271,2271,2271,2271,2272,2271,2271,2271,2270,2271,2271,2270,2270,2269,2271,2271,2271,2271,2270,2271,2271,2271,2271,2271,2273,2273,2274,2274,2273,2274,2273,2273,2273,2274,2273,2273,2272,2272,2273,2273,2273,2273,2273,2272,2273,2271,2271,2271,2270,2271,2270,2271,2271,2271,2270,2271,2270
Coal,18,17,17,17,17,17,18,18,18,18,18,18,19,18,18,18,19,18,18,18,19,18,19,19,19,19,18,19,19,19,18,18,18,19,18,17,17,18,18,18,18,18,18,18,19,19,19,19,18,19,19,19,18,18,18,18,18,18,19,18,17,17,17,17,17,17,17,17,18,17,17,18,17,18,18,18,19,19,19,18,17,17,17,18,18,18,17,18,19,20,19,20,21,21,21,20,20,20,20,21,21,22,23,22,23,23,22,21,20,21,21,21,21,21,22,21,21,21,21,21,20,19,21,21,21,21,21,21,21,21,20,21,20,19,20,21,22,21,20,21,21,21,21,21,21,21,22,20,19,20,20,20,19,19,20,19,18,20,20,19,19,20,20,20,21,20,20,20,20,20,19,19,18,18,18,19,19,18,19,18,19,18,18,18,16,16,16,20,19,19,20,19,18,20,20,20,20,20,20,20,20,19,19,20,18,19,21,19,19,18,19,19,19,19,20,20,18,18,19,19,19,20,20,19,19,18,19,18,19,19,18,18,18,18,18,18,18,18,18,18,19,19,19,18,18,17,18,19,18,17,17,18,19,19,20,18,18,19,19,19,18,18,19,19,19,18,19,19,18,19,19,18,18,17,18,17,18,19,18,18,18,18,19,19,18,19,19,19
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
